target,channel,weekday,checks_in_slice,rank,item,checks_with_item,attach_rate,attach_rate_ci_low,attach_rate_ci_high
pillow,all,Понедельник,1062619,1,Одеяло,55067,0.0518,0.0514,0.0522
pillow,all,Понедельник,1062619,2,Наволочка,49671,0.0467,0.0463,0.0471
pillow,all,Понедельник,1062619,3,Косметика/гигиена,47796,0.045,0.0446,0.0454
pillow,all,Вторник,1019145,1,Одеяло,52959,0.052,0.0515,0.0524
pillow,all,Вторник,1019145,2,Наволочка,47832,0.0469,0.0465,0.0473
pillow,all,Вторник,1019145,3,Косметика/гигиена,46739,0.0459,0.0455,0.0463
pillow,all,Среда,1057244,1,Одеяло,55852,0.0528,0.0524,0.0533
pillow,all,Среда,1057244,2,Наволочка,50227,0.0475,0.0471,0.0479
pillow,all,Среда,1057244,3,Косметика/гигиена,49771,0.0471,0.0467,0.0475
pillow,all,Четверг,1053660,1,Одеяло,55668,0.0528,0.0524,0.0533
pillow,all,Четверг,1053660,2,Наволочка,50755,0.0482,0.0478,0.0486
pillow,all,Четверг,1053660,3,Косметика/гигиена,50487,0.0479,0.0475,0.0483
pillow,all,Пятница,1046814,1,Одеяло,55360,0.0529,0.0525,0.0533
pillow,all,Пятница,1046814,2,Наволочка,50136,0.0479,0.0475,0.0483
pillow,all,Пятница,1046814,3,Косметика/гигиена,49830,0.0476,0.0472,0.048
pillow,all,Суббота,1054631,1,Одеяло,56757,0.0538,0.0534,0.0542
pillow,all,Суббота,1054631,2,Наволочка,51064,0.0484,0.048,0.0488
pillow,all,Суббота,1054631,3,Косметика/гигиена,51007,0.0484,0.048,0.0488
pillow,all,Воскресенье,1071746,1,Одеяло,56349,0.0526,0.0522,0.053
pillow,all,Воскресенье,1071746,2,Наволочка,50494,0.0471,0.0467,0.0475
pillow,all,Воскресенье,1071746,3,Косметика/гигиена,48396,0.0452,0.0448,0.0456
pillow,marketplace,Понедельник,1037644,1,Одеяло,52537,0.0506,0.0502,0.0511
pillow,marketplace,Понедельник,1037644,2,Наволочка,48759,0.047,0.0466,0.0474
pillow,marketplace,Понедельник,1037644,3,Косметика/гигиена,46601,0.0449,0.0445,0.0453
